activity_id,name,category,sector,source,unit_type
cooling-type_district_chilled_water-tech_absorption_chiller-fuel_natural_gas,District chilled water - absorption chiller using natural gas,Cooling,Energy,EPA,Energy
cooling-type_district_chilled_water-tech_electric_driven_chiller-fuel_electricity,District chilled water - electric driven chiller,Cooling,Energy,EPA,Energy
cooling-type_district_chilled_water-tech_engine_driven_chiller-fuel_natural_gas,District chilled water - engine-driven chiller natural gas,Cooling,Energy,EPA,Energy
electricity-supply_direct_line-source_solar_pv_monocrystalline,Electricity supplied from solar PV monocrystalline,Electricity,Energy,GEMIS,Energy
electricity-supply_direct_line-source_solar_pv_polycrystalline,Electricity supplied from solar PV polycrystalline,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_biogas_corn_chp,Electricity supplied from biogas (corn) CHP,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_biogas_slurry_chp,Electricity supplied from biogas (slurry) CHP,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_biomass,Electricity generated from biomass,Electricity,Energy,CO2 Emissiefactoren,Energy
electricity-supply_grid-source_biomass_waste,Electricity generated from biomass and waste,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_coal,Electricity generated from coal,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_coal,Electricity supplied from coal fired plant,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_gas,Electricity generated from gas,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_gas,Electricity supplied from gas fired plant,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_geothermal,Electricity generated from geothermal,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_geothermal,Electricity supplied from geothermal,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_geothermal_energy,Electricity supplied from geothermal energy,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_hydro,Electricity generated from hydro,Electricity,Energy,"EXIOBASE,CO2 Emissiefactoren","Money,Energy"
electricity-supply_grid-source_hydro_10_mw,Electricity supplied from hydro power plant 10 MW,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_imported_coal,Electricity supplied from grid coal-fired power plant (imported coal),Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_landfill_gas,Electricity supplied from landfill gas,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_lignite,Electricity supplied from lignite-fired power plant,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_na,Electricity,Electricity,Energy,"OpenIO-Canada,Market Economics Limited","Money,Money"
electricity-supply_grid-source_natural_gas_ccgt,Electricity supplied from natural gas CCGT power plant,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_natural_gas_chp_500_kw,Electricity supplied from natural gas CHP 500 kW,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_natural_gas_chp_50_kw,Electricity supplied from natural gas CHP 50 kW,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_natural_gas_combined_cycle_100_mw,Electricity supplied from natural gas combined cycle power plant 100 MW,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_nuclear,Electricity generated from nuclear,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_nuclear,Electricity supplied from nuclear plant,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_nuclear,Electricity supplied from nuclear power plant,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_nuclear_power_plant-use_na,Electricity supplied from nuclear power plant,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_offshore_wind_turbine,Electricity supplied from offshore wind turbine,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_oil_steam,Electricity supplied from oil steam plant,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_onshore_wind_turbine,Electricity supplied from onshore wind turbine,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_petroleum_other_oil_derivatives,Electricity generated from petroleum and other oil derivatives,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_photovoltaic,Electricity generated from solar photovoltaic,Electricity,Energy,"EXIOBASE,CO2 Emissiefactoren","Money,Energy"
electricity-supply_grid-source_photovoltaic_china-use_na,Electricity supplied from photovoltaic,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_photovoltaic_europe-use_na,Electricity supplied from photovoltaic,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_photovoltaic_france-use_na,Electricity supplied from photovoltaic,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_photovoltaic_made_in_china,Electricity supplied from photovoltaic (made in China),Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_photovoltaic_made_in_europe,Electricity supplied from photovoltaic (made in Europe),Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_photovoltaic_made_in_france,Electricity supplied from photovoltaic (made in France),Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_production_mix,Electricity supplied from grid - production mix,Electricity,Energy,"AIB,NVE","Energy,Energy"
electricity-supply_grid-source_rapeseed_oil_chp,Electricity supplied from rapeseed oil-fired CHP,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_residual_mix,Electricity supplied from grid - residual mix,Electricity,Energy,"AIB,GHG Protocol,DISER,Electricity Info,Green-e","Energy,Energy,Energy,Energy,Energy"
electricity-supply_grid-source_residual_mix-supplier_algonquin_power_and_utilities_corp_liberty_utilities,Electricity supplied from grid - residual mix - supplier Algonquin Power & Utilities Corp. Liberty Utilities,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_allete_minnesota_power,Electricity supplied from grid - residual mix - supplier ALLETE Minnesota Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_alliant_energy_corp_interstate_power_and_light_ipl,Electricity supplied from grid - residual mix - supplier Alliant Energy Corp. - Interstate Power & Light (IPL),Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_alliant_energy_corp_wisconsin_power_and_light_wpl,Electricity supplied from grid - residual mix - supplier Alliant Energy Corp. - Wisconsin Power & Light (WPL),Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_alliant_energy_corporation_interstate_power_and_light_company,Electricity supplied from grid - residual mix - supplier Alliant Energy Corporation Interstate Power & Light Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_alliant_energy_corporation_wisconsin_power_and_light_company,Electricity supplied from grid - residual mix - supplier Alliant Energy Corporation Wisconsin Power & Light Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_aep_ohio,Electricity supplied from grid - residual mix - supplier American Electric Power AEP Ohio,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_appalachian_power_company,Electricity supplied from grid - residual mix - supplier American Electric Power Appalachian Power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_appalachian_power_company_kingsport_power,Electricity supplied from grid - residual mix - supplier American Electric Power Appalachian Power Company - Kingsport Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_appalachian_power_company_wheeling_power,Electricity supplied from grid - residual mix - supplier American Electric Power Appalachian Power Company - Wheeling Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_indiana_michigan_power_company,Electricity supplied from grid - residual mix - supplier American Electric Power Indiana Michigan Power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_kentucky_power_company,Electricity supplied from grid - residual mix - supplier American Electric Power Kentucky Power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_public_service_company_of_oklahoma,Electricity supplied from grid - residual mix - supplier American Electric Power Public Service Company of Oklahoma,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_american_electric_power_southwestern_electric_power_company,Electricity supplied from grid - residual mix - supplier American Electric Power Southwestern Electric power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_avista_corporation_avista_utilities,Electricity supplied from grid - residual mix - supplier Avista Corporation Avista Utilities,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_black_hills_energy,Electricity supplied from grid - residual mix - supplier Black Hills Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_cms_energy_consumers_energy,Electricity supplied from grid - residual mix - supplier CMS Energy Consumers Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_dominion_energy,Electricity supplied from grid - residual mix - supplier Dominion Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_dominion_energy_south_carolina_electric_and_gas,Electricity supplied from grid - residual mix - supplier Dominion Energy South Carolina Electric & Gas,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_dominion_energy_virginia,Electricity supplied from grid - residual mix - supplier Dominion Energy Virginia,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_dte_energy,Electricity supplied from grid - residual mix - supplier DTE Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_carolinas,Electricity supplied from grid - residual mix - supplier Duke Energy Carolinas,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_corporation,Electricity supplied from grid - residual mix - supplier Duke Energy Corporation,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_florida,Electricity supplied from grid - residual mix - supplier Duke Energy Florida,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_indiana,Electricity supplied from grid - residual mix - supplier Duke Energy Indiana,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_kentucky,Electricity supplied from grid - residual mix - supplier Duke Energy Kentucky,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_ohio,Electricity supplied from grid - residual mix - supplier Duke Energy Ohio,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_duke_energy_progress,Electricity supplied from grid - residual mix - supplier Duke Energy Progress,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_edison_international_southern_california_edison,Electricity supplied from grid - residual mix - supplier Edison International Southern California Edison,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_el_paso_electric_company,Electricity supplied from grid - residual mix - supplier El Paso Electric Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_emera_tampa_electric,Electricity supplied from grid - residual mix - supplier Emera Tampa Electric,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_entergy_corporation_entergy_arkansas,Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Arkansas,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_entergy_corporation_entergy_louisiana,Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Louisiana,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_entergy_corporation_entergy_mississippi,Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Mississippi,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_entergy_corporation_entergy_new_orleans,Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy New Orleans,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_entergy_corporation_entergy_texas,Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Texas,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_exelon_atlantic_city_electric,Electricity supplied from grid - residual mix - supplier Exelon Atlantic City Electric,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_exelon_baltimore_gas_and_electric,Electricity supplied from grid - residual mix - supplier Exelon Baltimore Gas & Electric,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_exelon_comed,Electricity supplied from grid - residual mix - supplier Exelon ComEd,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_exelon_delmarva_power,Electricity supplied from grid - residual mix - supplier Exelon Delmarva Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_exelon_peco,Electricity supplied from grid - residual mix - supplier Exelon PECO,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_exelon_pepco,Electricity supplied from grid - residual mix - supplier Exelon PEPCO,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_jersey_central_power_and_light,Electricity supplied from grid - residual mix - supplier First Energy Corp. Jersey Central Power & Light,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_meted,Electricity supplied from grid - residual mix - supplier First Energy Corp. Met-Ed,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_mon_power,Electricity supplied from grid - residual mix - supplier First Energy Corp. Mon Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_ohio_edison,Electricity supplied from grid - residual mix - supplier First Energy Corp. Ohio Edison,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_penelec,Electricity supplied from grid - residual mix - supplier First Energy Corp. Penelec,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_penn_power,Electricity supplied from grid - residual mix - supplier First Energy Corp. Penn Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_potomac_edison,Electricity supplied from grid - residual mix - supplier First Energy Corp. Potomac Edison,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_the_illuminating_company,Electricity supplied from grid - residual mix - supplier First Energy Corp. The Illuminating Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_toledo_edison,Electricity supplied from grid - residual mix - supplier First Energy Corp. Toledo Edison,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_first_energy_corp_west_penn_power,Electricity supplied from grid - residual mix - supplier First Energy Corp. West Penn Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_hawaiian_electric_industries_hawaiian_electric_company,Electricity supplied from grid - residual mix - supplier Hawaiian Electric Industries Hawaiian Electric Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_mge_energy_madison_gas_and_electric_company,Electricity supplied from grid - residual mix - supplier MGE Energy Madison Gas and Electric Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_next_era_energy_florida_power_and_light,Electricity supplied from grid - residual mix - supplier Next Era Energy Florida Power & Light,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_next_era_energy_gulf_power_company,Electricity supplied from grid - residual mix - supplier Next Era Energy Gulf Power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_nisource_nipsco,Electricity supplied from grid - residual mix - supplier NiSource NIPSCO,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_northwestern_energy,Electricity supplied from grid - residual mix - supplier NorthWestern Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_otter_tail_corporation_otter_tail_power_company,Electricity supplied from grid - residual mix - supplier Otter Tail Corporation Otter Tail Power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_pgande_corporation_pacific_gas_and_electric_company,Electricity supplied from grid - residual mix - supplier PG&E Corporation Pacific Gas & Electric Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_pinnacle_west_capital_corporation_arizona_public_service_company,Electricity supplied from grid - residual mix - supplier Pinnacle West Capital Corporation Arizona Public Service Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_pnm_resources_pnm,Electricity supplied from grid - residual mix - supplier PNM Resources PNM,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_ppl_corporation_lgande_and_ku_energy,Electricity supplied from grid - residual mix - supplier PPL Corporation LG&E & KU Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_ppl_corporation_ppl_electric_utilities,Electricity supplied from grid - residual mix - supplier PPL Corporation PPL Electric Utilities,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_ppl_corporation_rhode_island_energy,Electricity supplied from grid - residual mix - supplier PPL Corporation Rhode Island Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_pseg_long_island,Electricity supplied from grid - residual mix - supplier PSEG Long Island,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_puget_sound_energy,Electricity supplied from grid - residual mix - supplier Puget Sound Energy,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_southern_company_alabama_power,Electricity supplied from grid - residual mix - supplier Southern Company Alabama Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_southern_company_georgia_power,Electricity supplied from grid - residual mix - supplier Southern Company Georgia Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_southern_company_mississippi_power,Electricity supplied from grid - residual mix - supplier Southern Company Mississippi Power,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_tennessee_valley_authority,Electricity supplied from grid - residual mix - supplier Tennessee Valley Authority,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_xcel_energy_northern_states_power_company,Electricity supplied from grid - residual mix - supplier Xcel Energy Northern States Power Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_xcel_energy_public_service_company_of_colorado,Electricity supplied from grid - residual mix - supplier Xcel Energy Public Service Company of Colorado,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_residual_mix-supplier_xcel_energy_southwestern_public_service_company,Electricity supplied from grid - residual mix - supplier Xcel Energy Southwestern Public Service Company,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_sewage_gas_chp,Electricity supplied from sewage gas-fired CHP,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_solar_thermal,Electricity generated from solar thermal,Electricity,Energy,EXIOBASE,Money
electricity-supply_grid-source_supplier_mix,Electricity supplied from grid,Electricity,Energy,"DEWA,BEIS,Covenant of Mayors,CT,EEA,DISER,GHG Protocol,ADEME,Government of Canada,GEMIS,UBA,CO2 Emissiefactoren,MfE,SEFR,EPPO,EPA","Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy,Energy"
electricity-supply_grid-source_supplier_mix,Electricity supplied from grid - UK average,Electricity,Energy,Electricity Info,Energy
electricity-supply_grid-source_supplier_mix,Electricity supplied from grid plus T&D losses,Electricity,Energy,"GEMIS,HKEI,NVE","Energy,Energy,Energy"
electricity-supply_grid-source_supplier_mix,Electricity supplied from power plant mix,Electricity,Energy,GEMIS,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_air_conditioning,Electricity - Use: air conditioning - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_construction_research_army,Electricity - Use: others (construction / research / army) - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_heating,Electricity - Use: heating - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_industrial_and_public,Electricity - Use: industrial and public lighting - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_industry,Electricity - Use: industry - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_refrigeration,Electricity - Use: cold - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_residential_cooking,Electricity - Use: residential cooking - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_residential_lighting,Electricity - Use: residential lighting - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_sanitary_hot_water,Electricity - Use: sanitary hot water - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-method_seasonal-use_transport,Electricity - Use: transports - seasonal method,Electricity,Energy,ADEME,Energy
electricity-supply_grid-source_supplier_mix-supplier_algonquin_power_and_utilities_corp_liberty_utilities,Electricity supplied from grid - supplier Algonquin Power & Utilities Corp. Liberty Utilities,Electricity,Energy,EEI,Energy
electricity-supply_grid-source_supplier_mix-supplier_allete_minnesota_power,Electricity supplied from grid - supplier ALLETE Minnesota Power,Electricity,Energy,EEI,Energy
