activity_id,name,category,sector,source,unit_type
commercial_vehicle-vehicle_type_bus-fuel_source_biodiesel-engine_size_na-vehicle_age_na-vehicle_weight_na,Biodiesel Bus,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_bus-fuel_source_cng-engine_size_na-vehicle_age_na-vehicle_weight_na,CNG Bus,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_bus-fuel_source_ethanol-engine_size_na-vehicle_age_na-vehicle_weight_na,Ethanol Bus,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_bus-fuel_source_lng-engine_size_na-vehicle_age_na-vehicle_weight_na,LNG Bus,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_bus-fuel_source_lpg-engine_size_na-vehicle_age_na-vehicle_weight_na,LPG Bus,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_bus-fuel_source_methanol-engine_size_na-vehicle_age_na-vehicle_weight_na,Methanol Bus,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_truck-fuel_source_biodiesel-engine_size_na-vehicle_age_na-vehicle_weight_na,Biodiesel Heavy-Duty Truck,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_truck-fuel_source_cng-engine_size_na-vehicle_age_na-vehicle_weight_na,CNG Heavy-Duty Truck,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_truck-fuel_source_ethanol-engine_size_na-vehicle_age_na-vehicle_weight_na,Ethanol Heavy-Duty Truck,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_truck-fuel_source_lng-engine_size_na-vehicle_age_na-vehicle_weight_na,LNG Heavy-Duty Truck,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_truck-fuel_source_lpg-engine_size_na-vehicle_age_na-vehicle_weight_na,LPG Heavy-Duty Truck,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_truck-fuel_source_methanol-engine_size_na-vehicle_age_na-vehicle_weight_na,Methanol Heavy-Duty Truck,Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_1981_to_1984-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (1981-1984 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_1985_to_1986-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (1985-1986 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_1987-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (1987 models),Vehicles,Transport,EPA,Distance
commercial_vehicle-vehicle_type_heavy_duty_vehicle-fuel_source_gasoline-engine_size_na-vehicle_age_1988_to_1989-vehicle_weight_na,Gasoline Heavy-Duty Vehicle (1988-1989 models),Vehicles,Transport,EPA,Distance
