activity_id,name,category,sector,source,unit_type
consumer_goods-type_0.2kg_down_jacket,0.2kg down jacket,Clothing and Footwear,Consumer Goods and Services,CAEP,Number
consumer_goods-type_0.8kg_feather_pillow,0.8kg feather pillow,Furnishings and Household,Consumer Goods and Services,CAEP,Number
consumer_goods-type_1.4kg_duvet,1.4kg duvet,Clothing and Footwear,Consumer Goods and Services,CAEP,Number
consumer_goods-type_admission_charges_to_cinemas_theatres_concerts,Admission charges to cinemas/theatres/concerts,Recreation and Culture,Consumer Goods and Services,Market Economics Limited,Money
consumer_goods-type_admissions_to_live_performing_arts_performances,Admissions to live performing arts performances,Recreation and Culture,Consumer Goods and Services,OpenIO-Canada,Money
consumer_goods-type_admissions_to_live_sporting_events,Admissions to live sporting events,Recreation and Culture,Consumer Goods and Services,OpenIO-Canada,Money
consumer_goods-type_admissions_to_motion_picture_film_exhibitions,Admissions to motion picture film exhibitions,Recreation and Culture,Consumer Goods and Services,OpenIO-Canada,Money
consumer_goods-type_agents_and_managers_for_artists_athletes_entertainers_and_other_public_figures,Agents and managers for artists/athletes/entertainers and other public figures,Recreation and Culture,Consumer Goods and Services,EPA,Money
consumer_goods-type_al_pe_pa_complex_package,Al-PE-Pa complex package,Furnishings and Household,Consumer Goods and Services,CAEP,Area
consumer_goods-type_alcoholic_beverages,Alcoholic beverages,Food/Beverages/Tobacco,Consumer Goods and Services,BEIS,Money
consumer_goods-type_alcoholic_beverages_for_immediate_consumption,Alcoholic beverages for immediate consumption,Food/Beverages/Tobacco,Consumer Goods and Services,OpenIO-Canada,Money
consumer_goods-type_alcoholic_beverages_nec,Alcoholic beverages nec,Food/Beverages/Tobacco,Consumer Goods and Services,Market Economics Limited,Money
consumer_goods-type_all_other_amusement_and_recreation_industries,All other amusement and recreation industries,Recreation and Culture,Consumer Goods and Services,EPA,Money
consumer_goods-type_all_other_foods,All other foods,Food/Beverages/Tobacco,Consumer Goods and Services,EPA,Money
consumer_goods-type_all_other_leather_good_and_allied_product,All other leather good and allied product manufacturing,Clothing and Footwear,Consumer Goods and Services,EPA,Money
