activity_id,name,category,sector,source,unit_type
waste-type_aggregates-disposal_method_closed_loop,Aggregates waste disposal (to closed-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_aggregates-disposal_method_landfill,Aggregates waste disposal (landfill),Construction Waste,Waste,BEIS,Weight
waste-type_aggregates-disposal_method_open_loop,Aggregates waste disposal (to open-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_aluminum_cans-disposal_method_combusted,Aluminum Cans - Combusted,Metal Waste,Waste,EPA,Weight
waste-type_aluminum_cans-disposal_method_landfilled,Aluminum Cans - Landfilled,Metal Waste,Waste,EPA,Weight
waste-type_aluminum_cans-disposal_method_recycled,Aluminum Cans - Recycled,Metal Waste,Waste,EPA,Weight
waste-type_aluminum_ingot-disposal_method_combusted,Aluminum Ingot - Combusted,Metal Waste,Waste,EPA,Weight
waste-type_aluminum_ingot-disposal_method_landfilled,Aluminum Ingot - Landfilled,Metal Waste,Waste,EPA,Weight
waste-type_aluminum_ingot-disposal_method_recycled,Aluminum Ingot - Recycled,Metal Waste,Waste,EPA,Weight
waste-type_asbestos-disposal_method_landfill,Asbestos waste disposal (landfill),Construction Waste,Waste,BEIS,Weight
waste-type_asphalt-disposal_method_closed_loop,Asphalt waste disposal (to closed-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_asphalt-disposal_method_landfill,Asphalt waste disposal (landfill),Construction Waste,Waste,BEIS,Weight
waste-type_asphalt-disposal_method_open_loop,Asphalt waste disposal (to open-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_asphalt_concrete-disposal_method_landfilled,Asphalt Concrete - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_asphalt_concrete-disposal_method_recycled,Asphalt Concrete - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_asphalt_shingles-disposal_method_combusted,Asphalt Shingles - Combusted,Construction Waste,Waste,EPA,Weight
waste-type_asphalt_shingles-disposal_method_landfilled,Asphalt Shingles - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_asphalt_shingles-disposal_method_recycled,Asphalt Shingles - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_average_for_non_municipal_solid_waste-disposal_method_na,Average for non-municipal solid waste,General Waste,Waste,MfE,Weight
waste-type_batteries-disposal_method_landfill,Batteries waste disposal (landfill),Electrical Waste,Waste,BEIS,Weight
waste-type_batteries-disposal_method_open_loop,Batteries waste disposal (to open-loop recycling),Electrical Waste,Waste,BEIS,Weight
waste-type_batteries_and_accumulators-disposal_method_average_end_of_life,Batteries and accumulators - Average end of life,Electrical Waste,Waste,ADEME,Weight
waste-type_beef-disposal_method_anaerobically_digested_dry_digestate_with_curing,Beef - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_beef-disposal_method_anaerobically_digested_wet_digestate_with_curing,Beef - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_beef-disposal_method_combusted,Beef - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_beef-disposal_method_composted,Beef - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_beef-disposal_method_landfilled,Beef - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_biological_treatment_of_waste-disposal_method_anaerobic_digestion,Biological treatment of waste - Anaerobic digestion,Food and Organic Waste,Waste,MfE,Weight
waste-type_biological_treatment_of_waste-disposal_method_composting,Biological treatment of waste - Composting,Food and Organic Waste,Waste,MfE,Weight
waste-type_books-disposal_method_closed_loop,Books waste disposal (to closed-loop recycling),General Waste,Waste,BEIS,Weight
waste-type_books-disposal_method_combustion,Books waste disposal (combustion),General Waste,Waste,BEIS,Weight
waste-type_books-disposal_method_composting,Books waste disposal (composting),General Waste,Waste,BEIS,Weight
waste-type_books-disposal_method_landfill,Books waste disposal (landfill),General Waste,Waste,BEIS,Weight
waste-type_branches-disposal_method_anaerobically_digested_dry_digestate_with_curing,Branches - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_branches-disposal_method_combusted,Branches - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_branches-disposal_method_composted,Branches - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_branches-disposal_method_landfilled,Branches - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_bread-disposal_method_anaerobically_digested_dry_digestate_with_curing,Bread - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_bread-disposal_method_anaerobically_digested_wet_digestate_with_curing,Bread - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_bread-disposal_method_combusted,Bread - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_bread-disposal_method_composted,Bread - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_bread-disposal_method_landfilled,Bread - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_bricks-disposal_method_landfill,Bricks waste disposal (landfill),Construction Waste,Waste,BEIS,Weight
waste-type_bricks-disposal_method_open_loop,Bricks waste disposal (to open-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_cardboard-disposal_method_closed_loop,Cardboard waste disposal (to closed-loop recycling),Paper and Cardboard Waste,Waste,BEIS,Weight
waste-type_cardboard-disposal_method_combustion,Cardboard waste disposal (combustion),Paper and Cardboard Waste,Waste,BEIS,Weight
waste-type_cardboard-disposal_method_composting,Cardboard waste disposal (composting),Paper and Cardboard Waste,Waste,BEIS,Weight
waste-type_cardboard-disposal_method_landfill,Cardboard waste disposal (landfill),Paper and Cardboard Waste,Waste,BEIS,Weight
waste-type_carpet-disposal_method_combusted,Carpet - Combusted,Plastic Waste,Waste,EPA,Weight
waste-type_carpet-disposal_method_landfilled,Carpet - Landfilled,Plastic Waste,Waste,EPA,Weight
waste-type_clay_bricks-disposal_method_landfilled,Clay Bricks - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_clothing-disposal_method_closed_loop,Clothing waste disposal (to closed-loop recycling),General Waste,Waste,BEIS,Weight
waste-type_clothing-disposal_method_combustion,Clothing waste disposal (combustion),General Waste,Waste,BEIS,Weight
waste-type_clothing-disposal_method_landfill,Clothing waste disposal (landfill),General Waste,Waste,BEIS,Weight
waste-type_commercial_and_industrial-disposal_method_anaerobic_digestion,Commercial and industrial waste disposal (anaerobic digestion),General Waste,Waste,BEIS,Weight
waste-type_commercial_and_industrial-disposal_method_closed_loop,Commercial and industrial waste disposal (to closed-loop recycling),General Waste,Waste,BEIS,Weight
waste-type_commercial_and_industrial-disposal_method_combustion,Commercial and industrial waste disposal (combustion),General Waste,Waste,BEIS,Weight
waste-type_commercial_and_industrial-disposal_method_composting,Commercial and industrial waste disposal (composting),General Waste,Waste,BEIS,Weight
waste-type_commercial_and_industrial-disposal_method_landfill,Commercial and industrial waste disposal (landfill),General Waste,Waste,BEIS,Weight
waste-type_concrete-disposal_method_closed_loop,Concrete waste disposal (to closed-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_concrete-disposal_method_landfill,Concrete waste disposal (landfill),Construction Waste,Waste,BEIS,Weight
waste-type_concrete-disposal_method_landfilled,Concrete - Landfilled,Construction Waste,Waste,EPA,Weight
waste-type_concrete-disposal_method_open_loop,Concrete waste disposal (to open-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_concrete-disposal_method_recycled,Concrete - Recycled,Construction Waste,Waste,EPA,Weight
waste-type_construction-disposal_method_closed_loop,Construction waste disposal (to closed-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_construction-disposal_method_combustion,Construction waste disposal (combustion),Construction Waste,Waste,BEIS,Weight
waste-type_construction-disposal_method_open_loop,Construction waste disposal (to open-loop recycling),Construction Waste,Waste,BEIS,Weight
waste-type_construction_and_demolition_waste_aluminium-disposal_method_average_end_of_life,Construction and demolition waste: Aluminium - Average end of life,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_concrete_bricks_tiles_and_ceramics-disposal_method_average_end_of_life,Construction and demolition waste: Concrete / bricks / tiles and ceramics - Average end of life,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_concrete_bricks_tiles_and_ceramics-disposal_method_end_of_life_without_recycling,Construction and demolition waste: Concrete / bricks / tiles and ceramics - End of life without recycling,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_copper-disposal_method_average_end_of_life,Construction and demolition waste: Copper - Average end of life,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_ferrous_metals-disposal_method_average_end_of_life,Construction and demolition waste: Ferrous metals - Average end of life,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_metals-disposal_method_end_of_life_without_recycling,Construction and demolition waste: Metals - End of life without recycling,Construction Waste,Waste,ADEME,Weight
waste-type_construction_and_demolition_waste_mixed_inert_waste-disposal_method_average_end_of_life,Construction and demolition waste: Mixed inert waste - Average end of life,Construction Waste,Waste,ADEME,Weight
